Team,Seed,Elimination Round,Reg Season Wins,Reg Conf Place,Conf Tourney Place,Region,Day of 1st Round Game,Preseason AP Rank,Final AP Rank,Tuition,Number of Students,PPG,PPG Rank,PPG Tourney Rank,ASM,ASM Rank,ASM Tourney Rank,Off Efficiency,Off Efficiency Rank,Off Efficiency Tourney Rank,Shooting %,Shooting % Rank,Shooting % Tourney Rank,3PS%,3PS% Rank,3PS% Tourney Rank,2PS%,2PS% Rank,2PS% Tourney Rank,FT%,FT% Rank,FT% Tourney Rank,RPG,RPG Rank,RPG Tourney Rank,TOPG,Least TOPG Rank,Least TOPG Tourney Rank,OPPG,Least OPPG Rank,Least OPPG Tourney Rank,Def Efficiency,Least Def Eff Rank,Least Def Eff Tourney Rank,OeFG%,OeFG% Rank,OeFG% Tourney Rank,DeFG%,DeFG% Rank,DeFG% Tourney Rank,OREB%,OREB% Rank,OREB% Tourney Rank,DREB%,DREB% Rank,DREB% Tourney Rank,OTOV%,OTOV% Rank,OTOV% Tourney Rank,DTOV%,DTOV% Rank,DTOV% Tourney Rank,OFTA/FGA,OFTA/FGA Rank,OFTA/FGA Tourney Rank,DFTA/FGA,DFTA/FGA Rank,DFTA/FGA Tourney Rank,FastPace,FastPace Rank,FastPace Tourney Rank,AdjO,AdjO Rank,AdjO Tourney Rank,AdjD,AdjD Rank,AdjD Tourney Rank,Net,Net Tourney Rank,SOS Net Rank,SOS Net Tourney Rank,Elo,Elo Rank,Elo Tourney Rank,Kenpom,Kenpom Rank,Kenpom Tourney Rank,Sagarin,Sagarin Rank,Sagarin Tourney Rank,10 Year Drought,Highest Seed in Program History
Fairleigh Dickinson,16,32,17,2,2,East,Friday,,,"$36,960 ","7,479",76.3,47,26,0.3,169,66,1.067,62,37,0.451,121,46,0.344,156,41,0.514,122,41,0.75,59,17,33.2,245,59,11.4,75,28,76,311,67,1.062,298,68,0.515,128,45,0.558,357,68,0.298,84,29,0.729,212,55,0.141,51,21,0.19,29,14,0.279,295,59,0.348,266,51,71.5,107,24,106.2,155,61,118.4,361,68,301,68,363,68,1259.62,258,68,-12.25,312,68,63.87,307,68,0,0
Purdue,1,64,26,1,1,East,Friday,,3,"$28,520 ","46,655",73.1,116,44,10.4,15,14,1.109,12,10,0.459,73,28,0.326,255,59,0.541,35,16,0.743,84,23,38.6,16,8,10.9,48,19,62.7,17,8,0.952,56,29,0.522,90,33,0.472,39,22,0.378,2,2,0.8,4,3,0.142,55,24,0.138,319,63,0.372,39,11,0.193,1,1,65.9,341,65,119.4,7,6,94.8,26,21,5,5,20,13,1740.28,10,10,24.55,7,7,89.16,10,10,0,0
Arizona,2,64,25,2,1,South,Thursday,17,8,"$33,739 ","45,601",82.7,3,2,11.2,11,11,1.111,11,9,0.496,3,3,0.382,14,8,0.566,9,6,0.709,217,49,39.4,8,3,13.4,271,62,71.5,205,57,0.961,67,33,0.568,3,3,0.472,38,21,0.29,105,33,0.757,87,31,0.161,203,59,0.149,242,54,0.365,53,16,0.26,41,11,74.4,23,4,120,4,4,97.1,41,31,10,10,47,29,1744.15,9,9,22.86,10,10,89.86,8,8,0,0
Virginia,4,64,23,2,2,South,Thursday,18,14,"$50,518 ","25,628",67.8,253,65,7.6,38,26,1.06,69,42,0.449,138,51,0.353,104,30,0.504,184,57,0.701,250,56,32,296,62,8.5,1,1,60.3,5,4,0.942,41,24,0.513,140,48,0.483,78,38,0.236,269,60,0.774,36,12,0.12,4,3,0.175,77,26,0.345,84,25,0.261,42,12,64,360,68,111.2,74,48,94.8,25,20,27,27,72,39,1689.67,16,16,16.41,34,34,85.08,29,29,0,0
Iowa State,6,64,18,5,4,Midwest,Friday,,,"$24,136 ","31,822",68.4,234,63,5.7,68,45,1.01,174,62,0.45,134,50,0.339,179,48,0.507,165,52,0.674,317,63,33.5,224,57,13.1,247,60,62.8,18,9,0.926,17,12,0.507,177,56,0.501,152,50,0.319,35,18,0.759,82,29,0.169,260,63,0.223,1,1,0.278,297,60,0.4,338,67,67.8,292,56,109.9,96,51,91.6,8,7,20,20,4,3,1571.98,53,44,18.33,23,23,84.82,32,32,0,0
Texas A&M,7,64,23,2,2,Midwest,Thursday,,17,"$35,378 ","70,418",73.2,111,43,7,52,36,1.063,66,39,0.435,226,62,0.328,245,58,0.49,242,63,0.759,40,12,36.8,54,18,12.3,182,47,66.2,55,21,0.961,66,32,0.49,255,64,0.479,63,33,0.357,6,6,0.719,255,57,0.155,137,46,0.182,47,17,0.459,3,1,0.351,274,54,68.9,237,51,114.5,30,26,96.2,37,28,19,19,43,26,1736.81,12,12,18.28,25,25,86.08,19,19,0,0
Iowa,8,64,19,5,16,Midwest,Thursday,,,"$30,319 ","30,318",80.2,14,8,5.8,66,44,1.118,9,7,0.455,92,38,0.344,163,45,0.521,90,33,0.739,107,28,36.3,63,20,9.9,12,7,74.4,276,65,1.037,252,67,0.519,102,37,0.533,308,67,0.303,67,26,0.741,152,40,0.121,5,4,0.163,142,40,0.326,133,35,0.234,12,5,71.8,90,20,120.5,3,3,104.9,167,59,39,38,23,15,1546.95,71,57,15.6,37,36,84.85,31,31,0,0
Memphis,8,64,23,2,1,East,Friday,,24,"$12,384 ","22,205",79.8,17,10,7.9,35,24,1.061,68,41,0.48,17,9,0.356,99,28,0.531,66,25,0.747,67,20,35.9,84,27,13.5,280,63,71.9,217,58,0.956,59,30,0.532,51,20,0.468,28,15,0.288,116,38,0.698,314,64,0.161,206,61,0.18,57,21,0.359,61,18,0.349,270,53,75.2,14,3,114.7,26,22,96,35,26,23,23,67,37,1714.23,13,13,18.69,19,19,86.53,15,15,0,0
Illinois,9,64,20,7,16,West,Thursday,23,,"$34,444 ","52,679",74.7,86,37,7.7,36,25,1.044,101,46,0.451,125,48,0.309,331,65,0.553,17,9,0.68,307,62,38,26,13,12.8,219,53,67,74,25,0.936,33,19,0.516,120,41,0.469,29,16,0.315,47,19,0.76,80,28,0.156,156,51,0.164,132,39,0.338,100,31,0.296,138,28,71.5,106,23,112.2,58,43,95.7,32,24,34,34,30,18,1547.53,70,56,16.48,33,33,85.3,27,27,0,0
West Virginia,9,64,18,8,8,South,Thursday,,,"$25,824 ","26,269",76.3,45,25,5.3,74,51,1.069,55,35,0.453,100,40,0.348,135,35,0.513,126,42,0.741,91,25,33.8,212,54,13,238,58,71,191,54,0.995,138,52,0.517,116,40,0.507,190,55,0.321,27,14,0.723,234,56,0.16,194,57,0.184,39,15,0.397,20,5,0.384,317,61,71.4,122,27,117.1,15,14,98,52,37,25,25,5,4,1611.14,39,35,19.14,17,17,85.86,22,22,0,0
Boise State,10,64,23,2,4,West,Thursday,,,"$22,452 ","24,069",71.7,156,55,7,49,33,1.038,114,50,0.451,124,47,0.36,81,26,0.507,164,51,0.739,102,26,35.4,111,38,11.3,68,25,64.7,32,15,0.937,35,20,0.519,101,36,0.473,43,26,0.249,228,53,0.784,15,5,0.148,86,33,0.158,173,48,0.307,214,47,0.274,69,19,69,232,47,111,78,49,93.8,14,12,29,29,60,34,1613.76,38,34,17.13,31,31,81.89,56,45,0,0
USC,10,64,22,3,8,East,Friday,,,"$60,446 ","46,287",72.8,120,46,5.5,71,48,1.03,134,56,0.457,88,35,0.345,151,39,0.511,137,44,0.744,83,22,35.3,121,42,12.5,190,49,67.3,81,27,0.952,54,28,0.513,135,47,0.452,9,4,0.267,178,46,0.702,303,62,0.159,181,55,0.154,202,51,0.338,99,30,0.298,142,30,70.7,149,32,113.1,43,34,97.5,48,36,50,44,63,36,1604.16,43,38,15.63,36,35,84.12,36,34,0,0
Utah State,10,64,24,3,2,South,Thursday,,,"$22,517 ","27,691",77.7,32,20,8,31,23,1.1,19,17,0.475,23,12,0.385,11,6,0.542,34,15,0.767,29,7,35.6,103,36,12.1,146,42,69.8,148,46,0.987,114,45,0.556,10,6,0.478,56,29,0.256,207,51,0.776,30,9,0.155,143,48,0.14,307,61,0.355,64,19,0.303,154,32,70.6,150,33,117.8,13,12,98.9,64,38,18,18,73,40,1653.33,24,24,18.88,18,18,84.12,37,35,0,0
Arizona State,11,64,20,6,4,West,Friday,,,"$28,800 ","74,795",70.3,185,61,2.6,124,63,0.978,255,67,0.413,314,67,0.314,315,64,0.479,273,64,0.689,288,61,36.9,49,17,11.8,108,37,67.7,93,33,0.941,40,23,0.475,308,65,0.464,21,10,0.273,159,44,0.706,295,61,0.145,73,31,0.176,72,25,0.308,207,46,0.334,236,46,71.9,82,19,107.6,133,57,95.2,28,22,66,51,55,31,1554.88,62,51,12.38,68,48,80.99,66,48,0,0
North Carolina State,11,64,22,6,8,South,Friday,,,"$27,320 ","36,042",78.2,25,15,7.4,41,28,1.092,24,20,0.453,105,43,0.349,128,34,0.515,114,38,0.72,173,38,36.6,57,19,9.5,7,5,70.8,182,52,0.989,120,47,0.518,108,39,0.498,137,48,0.294,96,31,0.76,76,27,0.117,1,1,0.169,110,33,0.253,340,66,0.34,254,48,71.6,104,22,113.9,37,30,100.6,85,45,45,41,78,42,1576.73,50,43,13.31,55,44,83.25,46,41,0,0
Providence,11,64,21,5,8,East,Friday,,,"$55,040 ","4,821",78.1,28,18,6.8,56,39,1.094,22,18,0.459,75,29,0.351,111,32,0.509,151,48,0.745,74,21,38.3,23,12,11.8,105,36,71.3,198,55,0.999,146,53,0.515,130,46,0.5,148,49,0.328,19,10,0.757,88,32,0.144,62,26,0.148,247,56,0.368,48,14,0.255,31,9,71.4,120,26,116.8,16,15,102.1,108,49,56,48,62,35,1535.27,80,61,14.73,44,41,84.12,38,36,0,0
Charleston,12,64,28,2,1,South,Thursday,,,"$33,978 ","10,384",80.3,13,7,13,6,6,1.101,18,16,0.436,218,61,0.333,211,53,0.529,68,26,0.743,85,24,40.4,3,2,11.9,126,39,67.4,85,29,0.923,13,8,0.515,127,44,0.479,67,34,0.344,12,9,0.768,49,17,0.141,50,20,0.171,100,32,0.327,132,34,0.247,22,8,73,47,10,111.4,70,46,99.6,75,43,51,45,333,66,1676.01,19,19,11.76,73,50,80.69,70,49,0,0
Drake,12,64,24,2,1,Midwest,Friday,,,"$45,734 ","4,774",73.8,102,40,9.5,18,15,1.065,63,38,0.464,51,24,0.367,46,19,0.519,95,36,0.771,20,5,35.2,122,43,10.5,28,15,64.4,31,14,0.929,23,16,0.531,54,22,0.473,40,23,0.233,272,62,0.802,2,1,0.138,35,15,0.159,167,47,0.288,268,55,0.267,53,13,69.3,215,44,109.8,98,52,97.3,44,34,55,47,204,54,1666.87,21,21,12.51,66,47,81.9,55,44,0,0
Oral Roberts,12,64,27,1,1,East,Thursday,,,"$30,300 ","4,317",82.5,4,3,12.5,9,9,1.143,3,2,0.476,22,11,0.37,35,15,0.566,8,5,0.784,10,3,36,77,25,9.3,5,3,69.9,154,47,0.969,75,35,0.561,7,4,0.485,84,40,0.226,296,65,0.75,115,36,0.118,2,2,0.153,213,52,0.246,344,67,0.22,6,4,72.2,70,14,115.3,23,19,102,107,48,36,36,202,53,1638.78,30,29,13.25,56,45,80.49,75,50,0,0
